2.200	Aspen Technology's shares dropped 74 cents, or 23 percent, to close at $2.48 on the Nasdaq.	In afternoon trading, Aspen's shares were off 89 cents or more than 27 percent at $2.33 per share.
1.8	President Hillary! There are few things I would like more!	President Hillary Clinton? If she wants it
3.2	NYT, "Mouse Study Discovers DNA That Controls [Burrowing] Behavior [and Whether Escape Tunnels Are Made]"	Mouse Study Discovers DNA That Controls Behavior
4.4	": Social media making us more honest?  talks to  "	Social media make us more honest
0	Thinking about how we can calm down our civic discourse. Labels are powerful.	Opinionator | The Stone: What is a 'Hacktivist'?
4	Public takes its shots at Armstrong--What do you guys think of Armstrong's doping?	Public lashes out at Armstrong
4	After U.S. threat, North Korea turns ire on South  #military #SKorea #NKorea #US #politics	After threats against U.S., North Korea turns ire to South
3.4	Sen. Feinstein announces bill to limit semiautomatic weapons:	Senator Unveils Bill to Limit Semiautomatic Arms
4.8	NYTimes: Victory for Anthony and for Knicks	Win for Anthony and for Knicks
0	The Mexican gun-tablet exchange...	Video shows fiery copter wreckage
3.4	From : Cond? Nast Writer Deals Stir Dispute  #CondeNast	Cond? Nast Contracts Cut Author?s Share in Film Deals
2.8	Fires threaten parts of Australia -	Photos: Fires across Australia
3.8	Feel good morning read! :) Note on a napkin, 'This meal is on us' -	Note on napkin: 'This meal is on us'
4.8	Exercise Can Boost Flu Shot?s Potency  #flushot #exercise #health	Exercise Can Boost Flu Shot's Potency
3.6	The telecom industry just took away our rights. As of today, it's illegal to choose a different cellphone carrier	Bits Blog: A Right to Unlock Cellphones Fades Away
0.8	Awesome! #Republicans can't win on their ideas so they will change the rules!?	Some GOP-led states look at electoral vote changes
3.2	77% of Americans use search to find diagnosis.  ?: Turning to the Web for a Medical Advice ?	Well: Turning to the Web for a Medical Diagnosis
4.2	The tricks of moving from Wall Street to Tech #dealbook	DealBook: Moving From Wall Street to the Tech Sector Proves Tricky
4.6	Should babies be left to "cry it out?"...	Should babies just 'cry it out'?
2	Interesting perspective on #Broncos playcalling -	The Cautious Calls of John Fox
3.6	Rivals watch as Shell's #Arctic drilling hopes hit snags.  $RDS.A #Alaska #KeystoneXL #oil #politics	Rivals Watch Travails of Shell Arctic Drilling
4	Russian Military Ordered to Switch to Socks  I learned something new today!!!	At War Blog: Russian Military Ordered to Switch Portyanki for Socks
4.2	Justice Clarence Thomas Breaks His Silence  nytimes or the onion article? can't tell	Justice Thomas Breaks His Silence in Court
4	Interesting article. ASAP Yams, Partner to Hip-Hop's ASAP Rocky	ASAP Yams, Partner to Hip-Hop?s ASAP Rocky
2.2	they were so young :( #SantaMaria #tragedyinthenightclub	Hundreds killed in Brazil nightclub fire
3.8	An architect is building a mobius band house with a 3D printer. I knew those things would come in handy.	Architect to build home using 3-D printer
3.8	TheWritingGenie Supernatural Tales: Manuel Gonzales Talks About 'The Miniature Wife': Mr. Gonzales's first colle...	ArtsBeat: Q. and A.: Manuel Gonzales on His Story Collection 'The Miniature Wife'
3.8	Philly high schoolers, join the conversation. : Would You Feel Safer With Armed Guards In Your School?	The Learning Network Blog: Student Opinion | Would You Feel Safer With Armed Guards Patrolling Your School?
4.8	some good news for a change More lives being saved - cancer death rates drop 20%...	More lives being saved: Cancer death rates drop 20%
0.4	Apparently a Suicide	Aaron Swartz, Internet Activist, Dies at 26
3.4	This is an inspiring exhibition. The way to the future. ?Making Room? in the City	Weekend Miser: ?Making Room,? at Museum of the City of New York
3.8	Jeanne Vertefeuille, who played a key role in unmasking infamous spy Aldrich Ames, died recently.	Jeanne Vertefeuille Dies, 80; Helped Catch Aldrich Ames
5	Wait, what?! - 'Universal background checks' defined	'Universal background check': What does it mean?
4.6	Our Economic Pickle: America's Productivity Climbs, but Wages Stagnate	News Analysis: America?s Productivity Climbs, but Wages Stagnate
2.8	Weak Protection Laws For Domestic Workers: Saudi execution: Brutal, inhuman and illegal? - CNN  #p2 #p21 #tcot #ccot	Beheading: Inhuman and illegal?
2.4	Reading: How to Get America Online  via	Op-Ed Contributor: How to Get High-Speed Internet to All Americans
3.8	New York Times Top Public Relations Exec to Depart	Times Communications Executive Is Leaving
3.8	What's so wrong with researching it? What We Don’t Know Is Killing Us	Editorial: What We Don?t Know Is Killing Us
4.4	Benjamin Millepied to take over Paris Opera Ballet,  with all the details:	Benjamin Millepied to Be Paris Opera Ballet Director
2.4	#Java compromised take necessary action	Critical Java vulnerability due to incomplete earlier patch
2.2	#Morsi: "Nurse our children and our grandchildren on hatred for them: for Zionists, for Jews"	Morsi Says Slurs of Jews Were Taken Out of Context
4	NYTimes:Armstrong, a Confession Without Explanation-the most sophisticated, organized and professionalized? in history	For Armstrong, a Confession Without Explanation
3.8	Lean in Sisters....NYTimes: She’s (Rarely) the Boss	Op-Ed Columnist: She?s (Rarely) the Boss
2.6	Pakistan bomb victims' families end protest	Pakistan bomb victims to be buried after protest ends
0	This could play out very interesting....	Some GOP-led states look at electoral vote changes
2	Senator Schumer Says He Will Vote For Chuck Hagel for Secretary of Defense  Good news!	Schumer Says He?s Satisfied With Hagel on Mideast
2.4	This man can sing better than some big names who will be at the Grammy Awards Geechee Dan Plays the 42nd Street Subway	N.Y./Region: Geechie Dan Plays the 42nd Street Subway
3.8	Security Firm Discovers Cyber-Spy Campaign  #itsecurity #cyberspy	Bits Blog: Security Firm Discovers Global Spy Campaign
4.4	Great NY Times article: “: “: A Saint in His City: Archie Manning in #NewOrleans	A Saint in His City: Archie Manning in New Orleans
1.8	Great article &comments on what biz owners face trying to figure out how to choose the right bank.	Staying Alive: Why I'm Looking for a New Bank
2	PUT UP YOUR NUKES [dukes]! "North Korea says new nuclear test will be part of fight against U.S."   jacques	N. Korea makes new threats against U.S.
3	Calorie bomb disasters on the menu	9 calorie bombs at restaurants
3.75	ICYMI:"As Disabled Athletes Compete, Questions of Logistics"	Disabled Athletes Suit Up, Raising Questions of Logistics and Fairness
4.4	If uv not seen #Crazy #Love, u should. NYTimes: Linda Riss #Pugach, Whose Life Was Ripped From Headlines, Dies at 75	Linda Riss Pugach, 1937-2013: Linda Riss Pugach, Whose Life Was Ripped From Headlines, Dies at 75
0.6	Question is: Does this mean Civil War? Probably not. But still not a good situation #Iraq	Sunni sheikh to al-Maliki: Hand over soldiers behind shootings or 'face losses'
0	Couldn't agree more with the facts here:	Opinionator: India Is Losing the Race
3.2	Interesting article for parents who support their college kids: Parents? Financial Support May Not Help College Grades	Parents? Financial Support Linked to College Grades
3.4	New York's Cuomo signs gun control bill. 1 down 49 to go!	New York to pass first gun control bill since Newtown shooting
4.2	SYNTHAX_tERROR 2: : More than 800 NYC rape cases to be reviewed for forensic mistakes	More than 800 NYC rape cases reviewed for mistakes
0.8	WTF India?!!  This has got to stop.	Six arrested over new gang-rape on bus
3.6	CNN Soccer's 'bounty hunter' takes on FIFA: A leading football agent fined by FIFA for using social media has ta...	'Bounty hunter' battles FIFA on Facebook
2	Dey stay preppin'... The Preppers Next Door	The Doomsday Preppers of New York
5	Family uses pot to manage son's autism... Wow	Boy given pot to manage his autism
4.2	“Long Island: ‘Attack of the Bloodsuckers!’ at the Long Island Children’s Museum ”  if you want to scare leo	Arts | Long Island: ?Attack of the Bloodsuckers!? at the Long Island Children?s Museum
0	a must read . my amazing friend cynthis schneider has done it again, bravo	Opinion: U.S gets it wrong on Egypt, again
3.2	Why the Net grieves Aaron Swartz - the innovator who embodied what's best about the Net.	Why world grieves Aaron Swartz
3.8	Female Directors Gain Ground, Slowly  The storyteller?s gender matters.	Female Film Directors Slowly Gain Ground
3.2	wtf?? » ": At least 245 killed in Brazil nightclub fire Update: "	Hundreds killed in Brazil nightclub fire
4.4	#Cosmos Unveil Plan for #Soccer Stadium Near #BelmontPark  #NYS #NY #LongIsland #EconDev	Cosmos Unveil Plan for Soccer Stadium Near Belmont Park
0.2	Theme? Ppl trying to sell stuff that's not theirs...  cc:  #JoyDivision #music	Lives: We Were Joy Division
3.6	NYTimes: Smartphones Become Life?s Remote Control --- amazing	Smartphones Can Now Run Consumers? Lives
3.2	Breaks my heart ": 245 people killed in Brazil nightclub fire, police tell state news agency. "	Hundreds killed in Brazil nightclub fire
4.8	op-ed - Why We Must Help Save #Mali  #Africa #HelpMali	Op-Ed Contributor: Why We Must Help Save Mali
3.4	Omg. At least 245 killed in Brazil nightclub fire	Hundreds killed in Brazil nightclub fire
3.2	Another GangRape in India! WTF! :( 7 men gang rape bus passenger in India -	Six arrested over new gang-rape on bus
3.4	Social media can be a friend or foe but it doesn't raise your IQ -  - Police: YouTube videos lead to pot bust	Police: YouTube leads to pot bust
3.8	He's dead! ?: Venezuela says Hugo Chavez's condition is improving ?	Venezuela: Chavez is improving
4.4	NYTimes: Tunisian Style Baked Cauliflower Frittata	Recipes for Health: Tunisian Style Baked Cauliflower Frittata ? Recipes for Health
4.4	Salivating! ?: Exotic culinary tours from around world ?	Exotic culinary tours around the world
1.2	"Still own a Livestrong bracelet? Tell us about it." (CNN)	Cycling: Armstrong apologizes to staff
3	Leave it to a lawyer from #Lakechuck to get Justice Thomas to break his silence.	Clarence Thomas breaks silence on bench
2.2	#coder #outsources own job to #china for a #profit, gets fired.	U.S. man outsources job to China, surfs cat videos
5	Africa: The Top 5 stories of the week are ... -	Africa's top 5 stories this week
4.8	Awkward! Notre Dame linebacker says he is hoax victim	Notre Dame linebacker says he is victim of hoax
1.8	When Pills Fail, This Option Provides a Cure For C-Diff	Disgusting, Maybe, but Treatment Works, Study Finds
3.8	Dear Abby, we miss you already. How fortunate you are to have Margalit Fox write your obit! "Dear Abby, Dies at 94"	Pauline Phillips, Flinty Adviser to Millions as Dear Abby, Dies at 94
4.6	A Data Crusader, a Defendant and Now, a Cause  #AaronSwartz #MITfail #badbranding	Aaron Swartz, a Data Crusader and Now, a Cause
4.2	How an all-American hero fell to earth - . (Where have all the REAL heroes gone?)	How all-American hero fell to earth
3.2	Tibetan man sets himself on fire in protest. Again.	Tibetan sets himself on fire to protest Chinese rule
2.2	More accurate (albeit less catchy) title would be "India is 2nd place" not "losing", but still interesting:	Opinionator: India Is Losing the Race
3.8	Awesome Jeanne Vertefuille told to take a secretarial course by C.I.A. She Helped Catch a Notorious Spy, Dies at 80	Jeanne Vertefeuille Dies, 80; Helped Catch Aldrich Ames
3.6	In awe of the courageous Russian LGBT rights advocates NYTimes: ‘Propaganda’ by Gays Faces Russian Curbs Amid Unrest	?Propaganda? By Gays Faces Russian Curbs Amid Unrest
3	Families of #Newtown Victims Look for Answers on #Gun Violence  #NRA	Families of Newtown School Massacre Victims Organize Against Gun Violence
4	Really? Man says he's 'certain' where Hoffa is buried	Man convicted in mob crimes says he's 'certain' where Hoffa is buried
1.4	NYTimes: How to Get America Online - excellent op-ed by  on regulating the big ISPs	Op-Ed Contributor: How to Get High-Speed Internet to All Americans
1.2	Time to ban nighclubs.	Hundreds killed in Brazil nightclub fire
3	'here is what happens when you cast lindsey #lohan in a movie' & get unlimited on-set access: superb journalism.	Here Is What Happens When You Cast Lindsay Lohan in Your Movie
4.6	North Korea Turns Its Ire on the South  #North #South #Korea #UN #sanctions #war #R2PH	North Korea Turns Its Ire on South Korea
4.2	In complete shock! Catholic hospital argues fetus not a person	Catholic hospital's lawyers argue fetus not a person
2.4	Armstrong's confess ruined all the cancer survivors and cycling fans who thought his fairy-tale story was true.	For Armstrong, a Confession Without Explanation
1.2	This is what happened in Brazil if you don't know x	Hundreds killed in Brazil nightclub fire
4.2	Although Truth is a the higher standard...: Readers sue Lance Armstrong for book refund after doping admission	Readers sue Armstrong for book refund
3.2	NYT story on Grounding of Boeing 787s	F.A.A. Orders Grounding of U.S.-Operated Boeing 787s
4.4	Aww  ?: Britney Spears calls off engagement ?	Britney Spears, Jason Trawick call off engagement
1.4	The top baby names of 2013 -   (gee, my name is not on there ;o))) )	Parenting.com's top baby names
3.2	This shouldn't be the problem that it is. Ready-set-go. NYTimes: As Disabled Athletes Compete, Questions of Logistics	Disabled Athletes Suit Up, Raising Questions of Logistics and Fairness
3.2	Damn smh ": Death toll climbs to 220 in Brazil nightclub fire, official says. "	Hundreds killed in Brazil nightclub fire
4	Could it be good? Sounds intriguing... ABC to look at 'Star Wars' live-action TV series -	ABC to look at 'Star Wars' live-action series
4.6	Online courses still need a human element...	Online courses need human element to educate
1.8	Gun ban argument continues but will it really solve anything except to disarm the innocent? #pols1101	'Enough is enough,' Feinstein says in proposing new gun ban
1	The history of temp agencies: Using the sexism of the '60s to expand "right under the noses of powerful labor unions."	Opinionator | The Great Divide: The Rise of the Permanent Temp Economy
3.2	great hire by Robert Wolf and his new firm Austan Goolsbee is a great guy	Robert Wolf Said to Hire Goolsbee as Adviser for His Firm
4.2	Amen! ": Good news .... My shero Robin Roberts Plans February Return to 'Good Morning America' "	Media Decoder Blog: Robin Roberts Plans February Return to 'GMA'
5	Who stole precious relics from Mo. church?	Who stole precious relics from church in Missouri town?
2.2	Firefly: 2015 is happening...... as a NASA mining vessel. #fireflyreturnskinda	'Fireflies' to scope out space rocks for mining
1	Algerian field strike retaliation over Mali, reports say -	Briton killed in Algerian gas field attack
3.6	I wish I could be this man #PaulTheroux My #Travel Wish List  via	Paul Theroux?s Travel Wish List
4.2	40 Miles to Work, on a Bike:  -- Incredible!	Commuting 40 Miles to Work on a Bike, With Thermals and Fleece
2.4	Oh so clever,  weighs in on #obesity fight	Coca-Cola weighs in on obesity fight
0	The entrusted Muslim brotherhood	Egypt deploys troops to Suez to quell 'out of control' clashes
2.8	I need a 'stop day' in my life.  #CNN	The importance of a 'stop day'
3.4	Great piece by  "The gruesome toll of deadly #clusterbombs in Syria" -	Gruesome toll of cluster bombs
3.4	Illuminating Jewish Life in a Muslim Empire  via Talmud Blog	Documents Illuminate Jewish Life in Ancient Muslim Empire
4.6	Highlights From Katie Couric's Interview With Manti Te'o	The Lede Blog: Updates on the Katie Couric Interview With Manti Te'o
2.8	Apps to help you ski:  via NY Times	App Smart: Apps Helps Skiers Get More Out of the Slopes - App Smart
2.4	We mourned the loss of an Open Access advocate this past weekend ~ A Data Crusader, a Defendant and Now, a Cause	Aaron Swartz, a Data Crusader and Now, a Cause
2.8	nsfw ?: Best obit opening I've read in a long time. Dear Abby Dies at 94 ?	Pauline Phillips, Flinty Adviser to Millions as Dear Abby, Dies at 94
2.6	Taking foodie culture maybe a bit too far...The Unaffordable Luxury of Food	Big City: New Generation Confronts Unaffordable Luxury of Food
4.4	I'd like to read this. MT : Interview with DL Weiss, Who Put Her Child on a Diet and Wrote About It.	Motherlode Blog: An Interview with Dara-Lynn Weiss, Who Put Her 7-Year-Old on a Diet, and Wrote a Book About It.
0.6	NYT botches description of "crushed beer can" fiasco in mostly v. good piece on Shell's Arctic troubles	Rivals Watch Travails of Shell Arctic Drilling
1.8	The Preppers Next Door  Who wants to join MY group?	The Doomsday Preppers of New York
3.4	Driven by a need to compete or remorse?  Armstrong Admits Doping, and Says He Will Testify	Armstrong Admits Doping, and Says He Will Testify Against Cycling Officials
3.8	Sheriff: I won't enforce Obama's gun laws. Good for him.	Sheriff won't enforce 'unconstitutional' gun laws
4.8	Love this--Forms at the doctor's office just got fun -	Forms at the doctor's just got fun
3	Dreamliner battery studied by NTSB  (via Instapaper)	Nothing ruled out as NTSB studies Dreamliner battery
4	setting the bar, good move! "Wal-Mart Plans to Hire Any Veteran Who Wants a Job"	Wal-Mart to Announce Extensive Plan to Hire Veterans
4.2	NYTimes: Apple May Be Big, but It Isn’t a Bellwether (my column)	Strategies: Apple Stock Isn?t a Bellwether, Even if It?s Big
2.8	Schrecklich! 😢 “: At least 90 killed in Brazil nightclub fire ”	Hundreds killed in Brazil nightclub fire
4	Fortunes of Facebook may hinge on search - is this the Big Reveal?	Fortunes of Facebook May Hinge on Searches
3.2	What is the price of insulting the #king in #Thailand? 10 years in #prison for #activist Somyot Pruksakasemsuk	Activist gets 10 years for king insult
2.2	Sheriff: I won't enforce Obama's gun laws He's 1 black guy, they r US laws & calm the fuck down #overparanoia&racism	Sheriff won't enforce 'unconstitutional' gun laws
2.2	Mining Electronic Records for Health Data May Greatly Benefit Medical Research, Not Necessarily Reduce Costs of Care	Mining Electronic Records for Revealing Health Data
4.6	NYTimes: ?Mad Men? Set to Return on April 7. Excellent news.	ArtsBeat: 'Mad Men' Set to Return on April 7
4.6	Greek FM: Small chance Greece leaves EU	Greek FM: Small chance of euro exit
1.4	'Dad, it's only my books I am friends with.'   #Malala #womenonthefrontline	The front lines in fight for women
3.8	lovely tribute, her responses to readers' qtns priceless. Read bacon frying and you could move. Dear Abby Dies at 94	Pauline Phillips, Flinty Adviser to Millions as Dear Abby, Dies at 94
4.6	Which country has most economic freedom?  #economy #economics	Country with freest economy is...
3.6	'4-hour' work guru on China outsourcer: Bad karma - CNN International	'4-hour' work guru on outsourcer
4.6	Part 4: Answers to Your Questions About the #FAFSA #finaid #scchat	The Choice Blog: Part 4: Answers to Your Questions About the Fafsa
1.75	Chilling fact that the biggest safety concern for women serving in military is risk of sexual attack from comrades.	Op-Ed Columnist: Military Women and the Front Lines
4	Finally a little RESPECT for Vets! Wal-Mart Plans to Hire Any Veteran Who Wants a Job	Wal-Mart to Announce Extensive Plan to Hire Veterans
3	": Breaking: 250 killed, 200 more injured in Brazil nightclub inferno. " Crazy	Hundreds killed in Brazil nightclub fire
3.2	"Pray for Me". Defense Secretary Panetta in Audience With Pope	Defense Secretary Leon Panetta Meets Pope
4.4	John Cale in Paris and Along the Borderline.  #music	Q. and A.: With John Cale in Paris and Along the Borderline
2.8	An rising star on London's thespian scene tells his story of - Being Bin Laden	Op-Ed Contributor: I Played Osama bin Laden in ?Zero Dark Thirty?
2.6	Casting: Lindsay Lohan, careening debt and porn stars. What could go wrong? What Happens When You Hire LL.	Here Is What Happens When You Cast Lindsay Lohan in Your Movie
4	Saudis Monsters try to defend Sri Lankan maid's execution  #p2 #tcot	Saudis defend maid's beheading
3.8	HE nvr gives vision wo provision & he'll use whoevr2bring it?Winfrey's LowRated Cable Channel Is Poised 2 Break Through	Winfrey?s Low-Rated Cable Channel Is Poised to Break Through
4.2	A MUST READ! by ! How #Turkey Can Make Peace With the #Kurds	Op-Ed Contributor: How Turkey Can Make Peace With the Kurds
2.25	Lovely piece in the NYT on a 40-year marriage, and how their gay son?s struggle became a unifier	Making It Last: Conservative Meets Liberal, and 40-Year Marriage Begins
1.6	What exactly is going on in Mali?  @	French Say Airstrikes in Mali ?Blocked? Rebel Advance
3.4	Gabby and Mark: The new Bradys of gun control #TGDN LIBS PLAY DIRTY AS NORM	The new 'Bradys' of gun control?
4.6	NRA's video game smacks of hypocrisy #NRA #guncontrol	NRA's video game hypocrisy
4.6	Frum: #US. #gun problem is not a race problem	America's gun problem is not a race problem
4.2	All from a kid starting an online petition. NYTimes: PepsiCo Will Halt Use of Additive in Gatorade	Gatorade Listens to a Teen And Changes Its Formula
3.6	Al Pacino to play Joe Paterno in Brian De Palma's tentatively entitled film "Happy Valley"  #sportsbiz	Pacino to Play Paterno in Film
3.6	Source say at least 150 ": At least 90 killed in Brazilian nightclub fire, officials say. "	Hundreds killed in Brazil nightclub fire
3.8	NYTimes: Debunking Darwin. Was He Wrong About Dating? #sex #gender	Opinion: Darwin Was Wrong About Dating
3.6	From the She Owns It business group... More Thoughts on Growing Your Business -- and Helping Employees	You're the Boss Blog: More Thoughts on Growing Your Business - and Helping Employees
0	Well, at least we know the slides work now.	Boeing 787s Are Grounded by Japanese Airlines
3.4	NYTimes: What We Don’t Know Is Killing Us -Couldn't agree more! e.g., research on IPV homicides & guns is critical.	Editorial: What We Don?t Know Is Killing Us
2.6	BHO Gun Proposal 2 Look Beyond Mass Shootings in taking steps to completely disarm Americans so that only Elites prtctd	Obama Gun Proposal to Look Beyond Mass Shootings
3	The deadly toll of cluster bombs in #Syria	Gruesome toll of cluster bombs
4.4	! pay it forward - Note on a napkin, 'This meal is on us' -	Note on napkin: 'This meal is on us'
1	Jacqui Weaver tells the NY Times: ?I do have friends in Australia who now refer to me as ?Hollywood Jack??	Jacki Weaver and the Lord of Greenwich Village
1.8	Flowers in winter?  Camellias are some of my favorite prerennials.	In the Garden: Camellias Ready for a Cold Snap
4.2	Go #Obama. Obama Calls for Broad Action on Guns	Obama to Ask Congress to Toughen Gun Laws
4.2	Is #Pakistan becoming "#SouthAsia's #Dreamliner"? - Official refuses order to arrest Prime Minister Ashraf	Pakistani Official Refuses Order to Arrest Prime Minister
4	Google Gains From Creating Apps for the #iPhone #HealthIT #hcsm	Google Gains From Creating Apps for the Opposition
0	I was definitely spending it on obscure sheet music and concert tickest. #MisspentYouth	Big City: New Generation Confronts Unaffordable Luxury of Food
1	A Generation Gap? Not on This Web Site (Harvard Business School)	A 20-Something?s Web Site for Women Over 40
1.6	Eddie Huang in the NY Times. i vibe this dude so hard	Eddie Huang Defies Description
3.8	Rangel: More equal military? Bring back draft #deployment #usaf #military	A more equal military? Bring back draft
3.4	France confronts Mali jihadists	France vows to halt Mali jihadists
3	The amount of organizations and clubs at #college is overwhelming! Choose carefully before dedicating your time:	The Choice Blog: Lessons From a College Student: Finding Your Fit on Campus
3	Lol..errm.."test" on the U.S. of A.? #damn!: North Korea says new nuclear test will be part of fight against U.S.: ?	N. Korea makes new threats against U.S.
3.6	#Morsi ?s Slurs Against #Jews Stir Concern  Does any one in #Obama 's administration know how to read #English?	Morsi?s Slurs Against Jews Stir Concern
4	"Vine is Twitter's attempt to be the Instagram of Video," Form a nerdier sentence. Don't try! Its Impossible!	Vine is Twitter's attempt to become the 'Instagram of video'
4	Mark Sanford, the ex-Governor of South Carolina & "Hiking the Appalachian Trail", to Run for Congress	Sanford, Ex-Governor of South Carolina, to Run for Congress
3.2	Where to Go in 2013 by !   offers insightful explorations to most of these!	The 46 Places to Go in 2013
1.6	peter is not in the top ten but mo, bertie and gus are?: "The top baby names of 2013"	Parenting.com's top baby names
4	NYTimes: #Queens #School Is Locked Down After #Gun Is Found in 7-Year-Old?s Backpack  is there no end?	Gun Found in 7-Year-Old?s Backpack at Queens School
4.6	What choo talkin' bout Mr. D......RIP Conrad Bain, Father on ?Diff?rent Strokes?, Dies at 89	Conrad Bain, Actor on ?Diff?rent Strokes,? Dies at 89
4.8	Facebook unveils new search tool:	Bits Blog: Facebook Unveils a New Search Tool
2.2	#GunReform for a Generation	Editorial: President Obama?s Plan for Gun Reform
3.8	Is it me, or is the main ingredient in Coke sugar? In Ads, Coke Confronts Soda?s Link to Obesity	Coke TV Ads Confront Obesity and Soda?s Role
4.2	Excellent analysis of the housing market recovery - Housing Offers Hope of Strength in the Economy	High & Low Finance: Signs of a Housing Recovery Point to a Stronger Economy
3.6	Williams Starts Fast, but Pace Suits Rockets	Williams Starts Strong, but Nets Don?t Follow in Loss to Rockets
4.8	QUEBRA TUDO!!! J.J. Abrams to Direct Next ‘Star Wars’ Movie	J.J. Abrams to Direct Next 'Star Wars' Movie
2.8	WOW:  announcing plan to hire EVERY veteran who wants a job - w a few conditions. They anticipate 100k+ hires:	Wal-Mart to Announce Extensive Plan to Hire Veterans
3.6	In Britain, Basketball Can Be a Tough SellWHY WOULD BRITS GET EXCITED BOUT PRO BB,THEY GOT "FOOTBALL"2 KEEP THEM BORED.	In Britain, Basketball Is Somewhat of a Tough Sell
2.8	At least 90 killed in Brazil nightclub fire " Kropp left that country in the nick of time.	Hundreds killed in Brazil nightclub fire
3.4	dutch automat  Returning Zing to Dutch Cooking	Putting Spice Into Dutch Cooking
3	Man held after subway attack in Philadelphia  omg!	Man held after woman thrown onto subway tracks in Philadelphia
1	Who Decides the Laws of War?  It belongs in civilian courts.	News Analysis: Military Tribunals and International War Crimes
4.4	Former Alaska Gov Sarah Palin is no long a commentator for Fox News	Fox News and Sarah Palin Part Ways
2.4	New York lawmakers agreed on changes to gun laws Ills	New York Legislators Hope for Speedy Vote on New Gun Laws
4	Lance Armstrong [Finally] Admits Doping, Says He Will Testify	Armstrong Admits Doping, and Says He Will Testify Against Cycling Officials
3.8	Hong Kong takes the Internet speed title with 54.1 Mbps.	Hong Kong takes Internet speed title
1.2	Where is justice? 'They ran him over because he was black'	Victim's son: It was a hate crime
3	reflects on doctors who take time off & then start seeing patients again.	Doctor and Patient: When the Doctor Returns to Doctoring
3.8	Sheen wants to return to '2.5 Men' but has his past image ruined that? #coePR205	Sheen wants to return to 'Two and a Half Men'
4.2	Good Read: Challenges for Women in India:	Challenges of being woman in India
4	NYTimes: Richard G. Stern, Writers? Writer, Dies at 84 Big loss	Richard G. Stern, a Writers? Writer, Is Dead at 84
0	Fantastic read from  on imprtnce of narratives: "...stories, not algorithms, give order to our hectic world."	Opinion: TV, The Thinking Person?s Entertainment of Choice
4	"2012: The Year of Extreme #Weather" :  #ClimateChange #Drought #NationalClimateAssessment #GlobalChangeResearch	IHT Rendezvous: 2012: The Year of Extreme Weather
3	La vision am?ricaine sur M.Kaspersky est peu flatteuse Security Firm Discovers Cyber-Spy Campaign	Bits Blog: Security Firm Discovers Global Spy Campaign
3.8	Sweet, sweet story. NYTimes: A Doll?s Magic, Free to Renew	A Doll's Magic, Free to Renew
4.6	A New Housing Boom? Don’t Count on It - By ROBERT J. SHILLER -	A New Housing Boom? Don?t Count on It
3.2	" (UK fave) "Mate, why don't skip killing people night? It's too cold." -NYC murderers in last 9 days	Cold Wave Cut Murders in New York City Significantly
3.8	Take that Texas. White House Rejects Petitions to Secede, but Texans Fight On	Texas Secession Movement Unbowed by White House Rejection
1.4	No Deal on Teacher's Union Evaluations; NYC Risks Losing $450 Million	New York City Talks on Teacher Evaluations
4.2	Interesting perspective... NYTimes: A New Housing Boom? Don’t Count on It	A New Housing Boom? Don?t Count on It
3.75	Battle behind China's 'Firewall'	Working behind China's 'Great Firewall'
3.6	NYTimes: Analysis of Armstrong?s Interview With Winfrey it's shame (but we know it) #congrutalionlance	The Lede Blog: Live Updates on Armstrong's Oprah Interview
2.8	Too many s*tty men in India: another gang rape	Six arrested over new gang-rape on bus
4.2	Vodka is saving lives! Well, a puppy's life...	Booze saves puppy's life
3	jl #NYT: U.S. Military Stops Sending Some Detainees to Afghan Custody  #p2 #topprog	U.S. Military Stops Sending Detainees to Some Afghan Prisons on Rights Fears
4	Loving the street style from the #Couture in #Paris #Fashion	T Magazine: Street Style from the Couture in Paris
3.2	asked many people (including yours truly) if #LanceArmstrong deserves another chance. Interesting views	Give Lance another chance?
1.2	Travel photos that you wish you had taken -	Today's photo: Thai temple
3.2	#Pentagon to lift combat ban for women... How about banning combat for men??	Pentagon Lifting Ban on Women in Combat
3.8	Doing Good (and Burnishing Images Too)  #celebrity #charity	The Carpetbagger: Doing Good (and Burnishing Images, Too)
3.6	Iran Currency Falls Further on U.S PRESSURE Over Banks transactions	Iran Currency Falls Further on Concerns Over Bank
2	'Kitty Cams study found that four of the cats were two-timing their owners,' and more in this cat story.	Well Pets: Holly the Cat's Incredible Journey
1.6	Union membership falls to 97-year low, 11.3%. People will still find ways to blame them for everything.	Union Membership Drops Despite Job Growth
1.8	Who spends so much money on food? That's so retarded :) The Unaffordable Luxury of Food	Big City: New Generation Confronts Unaffordable Luxury of Food
3.25	Sent from the CNN App for Android At least 245 killed in Brazil nightclub fire	Hundreds killed in Brazil nightclub fire
3.2	#Google Gains From Creating Apps for #iPhone. Google Maps is #1 #App.	Google Gains From Creating Apps for the Opposition
3.4	Get it together Sun (#Oracle)! Homeland Security warns users to disable Java. #CyberSecurity	Disruptions: U.S. Agency Warns of Java Software Problem
3.4	unreal ?: If you have not heard of the acid attack on the Bolshoi director. ?	Acid attack on Russia ballet director
3.2	Tragic. My thoughts and prayers go out to all..."At least 220 killed in Brazil nightclub fire"	Hundreds killed in Brazil nightclub fire
3.8	Potentially explosive legal battle: Catholic hospital argues fetus not a person	Catholic hospital's lawyers argue fetus not a person
